cluster_s,cluster_g,cluster_f,family_name,genus_name,species_name
1,1,1,fBin__1,fBin__1|gBin__1,fBin__1|gBin__1|sBin__1
2,2,1,fBin__1,fBin__1|gBin__2,fBin__1|gBin__2|sBin__2
