,mean,std,q05,q95,diff_qaunt,Completeness_std_ratio,Completeness_diff_quant_ratio
Completeness,84.23423423423424,7.342307798514883,78.98648648648648,91.4527027027027,12.46621621621621,1.0,1.0
Contamination,1.2137969171217253,0.8469829692423922,0.7090274417640146,2.0468652796018523,1.3378378378378377,8.6687785529884,9.318181818181815
l_N50,3.9630920666618574,0.4501443351425059,3.6721838331380052,4.407159658663136,0.7349758255251304,16.31100788192851,16.961396257229637
l_length,6.302185105382882,0.07140194270168594,6.235168209067136,6.362930670547049,0.12776246147991355,102.83064466734064,97.5733879248727
# contigs,342.3333333333333,214.49553219900253,131.5,496.0,364.5,0.034230586172316675,0.03420086753420085
